PhraseID ^ ComplexPhraseEnglishText ^ PhraseCount
2235 ^ offer -not translated -tribe -Levi  ^ 1
2236 ^ five -five -shekel  ^ 1
2237 ^ redemption -not translated  ^ 1
2238 ^ hanging -not translated  ^ 1
2239 ^ made fat -not translated  ^ 1
2240 ^ censer -not translated  ^ 1
2241 ^ cut off -never -not translated  ^ 1
2242 ^ charge -not translated  ^ 1
2243 ^ after -male  ^ 1
2244 ^ give -not translated -lie  ^ 1
2245 ^ after -kernel  ^ 1
2246 ^ against -number  ^ 1
2247 ^ day -one -prince -day  ^ 1
2248 ^ eleven + 02640 -etc to nineteen -day  ^ 1
2249 ^ two -etc to nineteen -day  ^ 1
2250 ^ ten -ten -hand  ^ 1
2251 ^ ...) over -sheath -against  ^ 1
2252 ^ become -serve -not translated  ^ 1
2253 ^ come -Levite  ^ 1
2254 ^ fight -host  ^ 1
2255 ^ return -after -host  ^ 1
2256 ^ journey -not translated  ^ 1
2257 ^ evil -ear(s)  ^ 1
2258 ^ and not -after  ^ 1
2259 ^ eye -evil  ^ 1
2260 ^ ... with child -not translated  ^ 1
2261 ^ man -elders  ^ 1
2262 ^ after -youth  ^ 1
2263 ^ spread -spread  ^ 1
2264 ^ spit -spit  ^ 1
2265 ^ after -search  ^ 1
2266 ^ ends -because  ^ 1
2267 ^ keep silence -not translated  ^ 1
2268 ^ after -and not  ^ 1
2269 ^ unpunished -unpunished -before  ^ 1
2270 ^ fill -after  ^ 1
2271 ^ sheep -lamb  ^ 1
2272 ^ hand -etc...) up  ^ 1
2273 ^ after -born  ^ 1
2274 ^ blaspheme -not translated  ^ 1
2275 ^ cut off -cut off  ^ 1
2276 ^ rule -rule -misc  ^ 1
2277 ^ prince -one -tribe  ^ 1
2278 ^ son -rebellious  ^ 1
2279 ^ come nigh -come nigh  ^ 1
2280 ^ inherit -before  ^ 1
2281 ^ after -against  ^ 1
2282 ^ gather -not translated -congregation  ^ 1
2283 ^ gather -not translated -congregation  ^ 1
2284 ^ give -pay for it  ^ 1
2285 ^ gather -not translated -people  ^ 1
2286 ^ after -Mattanah  ^ 1
2287 ^ after -Nahaliel  ^ 1
2288 ^ after -Bamoth  ^ 1
2289 ^ sojourn -very  ^ 1
2290 ^ strong -after  ^ 1
2291 ^ honour -honour -very  ^ 1
2292 ^ acquaint -acquaint  ^ 1
2293 ^ ends -not translated  ^ 1
2294 ^ word -how  ^ 1
2295 ^ curse -curse  ^ 1
2296 ^ after -Agag  ^ 1
2297 ^ clap -not translated -hand  ^ 1
2298 ^ honour -honour  ^ 1
2299 ^ hang -not translated  ^ 1
2300 ^ thrust through -not translated  ^ 1
2301 ^ return -not translated -fury  ^ 1
2302 ^ against -jealousy  ^ 1
2303 ^ man -Israel  ^ 1
2304 ^ against -word -Peor  ^ 1
2305 ^ six -seventy  ^ 1
2306 ^ Amram -not translated  ^ 1
2307 ^ after -number  ^ 1
2308 ^ after -glory  ^ 1
2309 ^ after -vow  ^ 1
2310 ^ vow -against  ^ 1
2311 ^ avenge -vengeance  ^ 1
2312 ^ tribe -thousand -tribe -thousand  ^ 1
2313 ^ after -host -war  ^ 1
2314 ^ live -all -female  ^ 1
2315 ^ silver -not translated  ^ 1
2316 ^ iron -not translated  ^ 1
2317 ^ after -five  ^ 1
2318 ^ all -soul  ^ 1
2319 ^ five -seventy  ^ 1
2320 ^ one -not translated  ^ 1
2321 ^ ...) over -never -not translated  ^ 1
2322 ^ disallow -not translated  ^ 1
2323 ^ consume -against  ^ 1
2324 ^ deliver -haste  ^ 1
2325 ^ ...) over -against -not translated  ^ 1
2326 ^ call -name -not translated -name  ^ 1
2327 ^ after -Etham  ^ 1
2328 ^ after -Dophkah  ^ 1
2329 ^ after -Alush  ^ 1
2330 ^ after -Rithmah  ^ 1
2331 ^ after -Rimmonparez  ^ 1
2332 ^ after -Rissah  ^ 1
2333 ^ after -Kehelathah  ^ 1
2334 ^ after -Haradah  ^ 1
2335 ^ after -Makheloth  ^ 1
2336 ^ after -Tahath  ^ 1
2337 ^ after -Terah  ^ 1
2338 ^ after -Mithcah  ^ 1
2339 ^ after -Hashmonah  ^ 1
2340 ^ after -Moseroth  ^ 1
2341 ^ after -Benejaakan  ^ 1
2342 ^ after -Horhagidgad  ^ 1
2343 ^ after -Jotbathah  ^ 1
2344 ^ after -Ebronah  ^ 1
2345 ^ after -Zalmonah  ^ 1
2346 ^ after -Punon  ^ 1
2347 ^ after -lim  ^ 1
2348 ^ after -Dibon  ^ 1
2349 ^ after -Almondiblathaim  ^ 1
2350 ^ after -Bethjesimoth  ^ 1
2351 ^ after -as if -in it  ^ 1
2352 ^ after -Azmon  ^ 1
2353 ^ after -Hazarenan  ^ 1
2354 ^ after -Shepham  ^ 1
2355 ^ one -prince -one -prince  ^ 1
2356 ^ ....out -....out -not translated  ^ 1
2357 ^ soul -not translated  ^ 1
2358 ^ as if -midst  ^ 1
2359 ^ after -lot  ^ 1
2360 ^ declare -not translated  ^ 1
2361 ^ melt -not translated  ^ 1
2362 ^ etc...)  up -deal proudly  ^ 1
2363 ^ breadth -hand -feet  ^ 1
2364 ^ Ar -not translated  ^ 1
2365 ^ way -way  ^ 1
2366 ^ strengthen -not translated -heart  ^ 1
2367 ^ little ones -not translated  ^ 1
2368 ^ Amorite -not translated  ^ 1
2369 ^ Bashanhavothjair + -Havothjair  ^ 1
2370 ^ after -Chinnereth  ^ 1
2371 ^ Ashdothpisgah -Pisgah  ^ 1
2372 ^ son -Hiram  ^ 1
2373 ^ after -heart  ^ 1
2374 ^ destroy -destroy  ^ 1
2375 ^ end -heaven  ^ 1
2376 ^ before -before  ^ 1
2377 ^ offer -thou  ^ 1
2378 ^ after -keep -not translated  ^ 1
2379 ^ spare -before  ^ 1
2380 ^ remember -remember -not translated  ^ 1
2381 ^ abominable -abominable  ^ 1
2382 ^ abhor -abhor  ^ 1
2383 ^ chastise 21 instruct -not translated  ^ 1
2384 ^ lest -forget -not translated  ^ 1
2385 ^ forget -forget -not translated  ^ 1
2386 ^ as if -after -name  ^ 1
2387 ^ after -corruption -could  ^ 1
2388 ^ writing -not translated  ^ 1
2389 ^ after -Beeroth  ^ 1
2390 ^ neck -harden  ^ 1
2391 ^ greatness -not translated  ^ 1
2392 ^ flow -against -before  ^ 1
2393 ^ shut up -not translated  ^ 1
2394 ^ perish -perish -not translated  ^ 1
2395 ^ lest -forsake -not translated  ^ 1
2396 ^ all -word -as if  ^ 1
2397 ^ slay -slay  ^ 1
2398 ^ sheep -sheep  ^ 1
2399 ^ sheep -goat  ^ 1
2400 ^ tithe -tithe -not translated  ^ 1
2401 ^ man -creditor + 01167 -hand  ^ 1
2402 ^ shut -not translated  ^ 1
2403 ^ lend -lend  ^ 1
2404 ^ compass -compass  ^ 1
2405 ^ harden -eye  ^ 1
2406 ^ gifts -hand  ^ 1
2407 ^ righteousness -righteousness  ^ 1
2408 ^ marvellous...) work -word  ^ 1
2409 ^ ...) away -and not  ^ 1
2410 ^ portion -portion  ^ 1
2411 ^ after -that ... sold  ^ 1
2412 ^ seek -after -die  ^ 1
2413 ^ more -not translated  ^ 1
2414 ^ three years old -not translated  ^ 1
2415 ^ counsellor -madness  ^ 1
2416 ^ after -Teresh  ^ 1
2417 ^ judgment -death  ^ 1
2418 ^ after -times past + 08032  ^ 1
2419 ^ become -hate  ^ 1
2420 ^ seek -well  ^ 1
2421 ^ pay -before  ^ 1
2422 ^ come -after -before  ^ 1
2423 ^ neck -not translated  ^ 1
2424 ^ dearly beloved -form  ^ 1
2425 ^ sell -sell  ^ 1
2426 ^ firstborn -not translated  ^ 1
2427 ^ bury -bury  ^ 1
2428 ^ etc...) up -etc...) up -as long  ^ 1
2429 ^ misc -two  ^ 1
2430 ^ ....out -not translated -two  ^ 1
2431 ^ slayer -soul  ^ 1
2432 ^ wounded -wounded in the stones + 06481  ^ 1
2433 ^ after -Pethor  ^ 1
2434 ^ after -uncleanness that chanceth  ^ 1
2435 ^ rejoice -not translated  ^ 1
2436 ^ son -smite  ^ 1
2437 ^ men -little  ^ 1
2438 ^ beginning -fruit  ^ 1
2439 ^ tithe -not translated  ^ 1
2440 ^ declare -well  ^ 1
2441 ^ treasure(s) -not translated  ^ 1
2442 ^ curse -not translated  ^ 1
2443 ^ ....out -many -seed  ^ 1
2444 ^ gather -little  ^ 1
2445 ^ beneath -beneath  ^ 1
2446 ^ after -delight  ^ 1
2447 ^ after -tenderness  ^ 1
2448 ^ end -land  ^ 1
2449 ^ rest -before  ^ 1
2450 ^ understand -not translated  ^ 1
2451 ^ after -hew  ^ 1
2452 ^ after -side  ^ 1
2453 ^ hide -hide  ^ 1
2454 ^ destroy -destroy  ^ 1
2455 ^ after -flint  ^ 1
2456 ^ doubtless -before -because  ^ 1
2457 ^ after -field  ^ 1
2458 ^ become -against  ^ 1
2459 ^ Meribah -Kadesh  ^ 1
2460 ^ after -Sinai  ^ 1
2461 ^ after -words  ^ 1
2462 ^ cover -against  ^ 1
2463 ^ after -plain  ^ 1
2464 ^ dim -before  ^ 1
2465 ^ afraid -never  ^ 1
2466 ^ all -man -as if  ^ 1
2467 ^ do -as long -mercy  ^ 1
2468 ^ after -oath -hath  ^ 1
2469 ^ after -oath  ^ 1
2470 ^ after -Shittim  ^ 1
2471 ^ never -offer  ^ 1
2472 ^ man -one -man -one -tribe  ^ 1
2473 ^ after -Adam  ^ 1
2474 ^ all -word  ^ 1
2475 ^ shut -shut  ^ 1
2476 ^ ...) over -...) over -not translated  ^ 1
2477 ^ after -lay in wait  ^ 1
2478 ^ etc) down -not translated -carcase  ^ 1
2479 ^ after -land -very -afar...) off  ^ 1
2480 ^ hail -stone(s)  ^ 1
2481 ^ determined -not translated  ^ 1
2482 ^ cave -not translated  ^ 1
2483 ^ Jarmuth -not translated  ^ 1
2484 ^ after -against -tree  ^ 1
2485 ^ after -Makkedah  ^ 1
2486 ^ after -Eglon  ^ 1
2487 ^ beside... -not translated  ^ 1
2488 ^ but -not translated  ^ 1
2489 ^ before -...) away -word  ^ 1
2490 ^ Gibeon -not translated  ^ 1
2491 ^ meet -not translated  ^ 1
2492 ^ offering...by fire -LORD -God -Israel  ^ 1
2493 ^ after -kingdom  ^ 1
2494 ^ Jephunneh -not translated  ^ 1
2495 ^ after -Baalah  ^ 1
2496 ^ Anak -not translated  ^ 1
2497 ^ after -Jordan  ^ 1
2498 ^ after -Janohah  ^ 1
2499 ^ after -Tappuah  ^ 1
2500 ^ possess -before -not translated  ^ 1
2501 ^ inherit -inheritance  ^ 1
2502 ^ against -not translated  ^ 1
2503 ^ as if -as long -hitherto  ^ 1
2504 ^ after -Sarid  ^ 1
2505 ^ after -Heleph  ^ 1
2506 ^ after -plain  ^ 1
2507 ^ after -divide -not translated  ^ 1
2508 ^ Levite -not translated  ^ 1
2509 ^ Simeon -not translated  ^ 1
2510 ^ Dan -not translated  ^ 1
2511 ^ Gilead -not translated  ^ 1
2512 ^ prince -one -prince -one  ^ 1
2513 ^ dwell -in it  ^ 1
2514 ^ after -carefulness  ^ 1
2515 ^ return -not translated -word  ^ 1
2516 ^ ....out -not translated -father  ^ 1
2517 ^ after -forsake -not translated  ^ 1
2518 ^ Joshua -not translated  ^ 1
2519 ^ after -groaning  ^ 1
2520 ^ after -way -misc  ^ 1
2521 ^ enemy(s) -not translated  ^ 1
2522 ^ Harosheth -nation  ^ 1
2523 ^ prophetess -wife  ^ 1
2524 ^ after -Kedesh -Naphtuhim  ^ 1
2525 ^ Kishon -not translated  ^ 1
2526 ^ before -mourn  ^ 1
2527 ^ after -Kenite  ^ 1
2528 ^ after -Harosheth  ^ 1
2529 ^ go -misc  ^ 1
2530 ^ refuse -avenge  ^ 1
2531 ^ go -path  ^ 1
2532 ^ way -byways + 05410  ^ 1
2533 ^ for my sake -etc...) up  ^ 1
2534 ^ after -highway  ^ 1
2535 ^ after -pransing  ^ 1
2536 ^ curse -curse  ^ 1
2537 ^ mercy -mercy  ^ 1
2538 ^ for my sake -thou  ^ 1
2539 ^ bullock -ox  ^ 1
2540 ^ closed -not translated  ^ 1
2541 ^ turn -upward  ^ 1
2542 ^ pursue -after  ^ 1
2543 ^ after -vintage  ^ 1
2544 ^ seventy -seven  ^ 1
2545 ^ ...harlot -in it  ^ 1
2546 ^ Shechem -not translated  ^ 1
2547 ^ stretch out -after  ^ 1
2548 ^ reign -not translated -Abimelech  ^ 1
2549 ^ after -Abimelech  ^ 1
2550 ^ misc -not translated -hand  ^ 1
2551 ^ fenced -not translated  ^ 1
2552 ^ any -give -not translated  ^ 1
2553 ^ year -not translated  ^ 1
2554 ^ take -before -not translated  ^ 1
2555 ^ good -good  ^ 1
2556 ^ after -Balak  ^ 1
2557 ^ plead -plead  ^ 1
2558 ^ fight -fight  ^ 1
2559 ^ after -Mizpeh  ^ 1
2560 ^ bow -bow  ^ 1
2561 ^ man -cause -very  ^ 1
2562 ^ son -son  ^ 1
2563 ^ after -shout  ^ 1
2564 ^ become -judgment  ^ 1
2565 ^ etc) down -Samson  ^ 1
2566 ^ any thing -except  ^ 1
2567 ^ please -eye -Samson  ^ 1
2568 ^ after -body  ^ 1
2569 ^ after -strong  ^ 1
2570 ^ hate -hate  ^ 1
2571 ^ after -shock  ^ 1
2572 ^ die -before -die  ^ 1
2573 ^ heaps -heaps  ^ 1
2574 ^ thirst -very  ^ 1
2575 ^ as long -bar  ^ 1
2576 ^ weaver -not translated  ^ 1
2577 ^ put out -not translated  ^ 1
2578 ^ multiply -not translated -slay  ^ 1
2579 ^ after -house -prisoner  ^ 1
2580 ^ laugh -before  ^ 1
2581 ^ feel -not translated  ^ 1
2582 ^ avenge -vengeance -one  ^ 1
2583 ^ sanctify -sanctify -not translated  ^ 1
2584 ^ do -way  ^ 1
2585 ^ possess -magistrate  ^ 1
2586 ^ after -Zidonians  ^ 1
2587 ^ slothful -never  ^ 1
2588 ^ wife -concubine  ^ 1
2589 ^ stretch out -day  ^ 1
2590 ^ after -hither  ^ 1
2591 ^ well -not translated -heart  ^ 1
2592 ^ ....out -without  ^ 1
2593 ^ man -Levite  ^ 1
2594 ^ all -hath  ^ 1
2595 ^ round about -after  ^ 1
2596 ^ after -meadow  ^ 1
2597 ^ smite -smite  ^ 1
2598 ^ compass (about) -not translated -Benjamin  ^ 1
2599 ^ after -Jabesh -Gilead  ^ 1
2600 ^ after -son -army  ^ 1
2601 ^ know -bed  ^ 1
2602 ^ after -two -child  ^ 1
2603 ^ after -as if  ^ 1
2604 ^ very -bitterness  ^ 1
2605 ^ times past + 08543 -times past + 08032  ^ 1
2606 ^ time -meat  ^ 1
2607 ^ beat out -not translated  ^ 1
2608 ^ after -full  ^ 1
2609 ^ mother in law -not translated  ^ 1
2610 ^ know -never  ^ 1
2611 ^ henceforth -because  ^ 1
2612 ^ etc...)  up -Boaz  ^ 1
2613 ^ Ram -not translated  ^ 1
2614 ^ daughter -Belial  ^ 1
2615 ^ ...) early -morning  ^ 1
2616 ^ suck -not translated -son  ^ 1
2617 ^ high -high  ^ 1
2618 ^ flesh -seethe  ^ 1
2619 ^ incense -incense  ^ 1
2620 ^ grieve -not translated  ^ 1
2621 ^ after -tell -after  ^ 1
2622 ^ Chemosh -serve  ^ 1
2623 ^ after -army  ^ 1
2624 ^ variant -way  ^ 1
2625 ^ after -Ebenezer  ^ 1
2626 ^ after -city -hold  ^ 1
2627 ^ after -cry  ^ 1
2628 ^ as long -and lo  ^ 1
2629 ^ oar -misc  ^ 1
2630 ^ word -hath  ^ 1
2631 ^ stood -thou  ^ 1
2632 ^ as if -find -hand  ^ 1
2633 ^ after -time past + 08032 -times past + 08543  ^ 1
2634 ^ after -prophesy  ^ 1
2635 ^ cry -not translated -people  ^ 1
2636 ^ any -not translated  ^ 1
2637 ^ after -hand -any  ^ 1
2638 ^ after -hand -man  ^ 1
2639 ^ never -...) away  ^ 1
2640 ^ after -cease  ^ 1
2641 ^ file -mouth  ^ 1
2642 ^ three -fork  ^ 1
2643 ^ after -side -this  ^ 1
2644 ^ go -many  ^ 1
2645 ^ swear -not translated  ^ 1
2646 ^ sware -not translated -people  ^ 1
2647 ^ honeycomb + -honey  ^ 1
2648 ^ sware -sware -not translated -people  ^ 1
2649 ^ because -if  ^ 1
2650 ^ after -Michmash  ^ 1
2651 ^ taste -taste  ^ 1
2652 ^ hear -not translated -people  ^ 1
2653 ^ thousand -not translated  ^ 1
2654 ^ after -Amalekite  ^ 1
2655 ^ because of -sacrifice  ^ 1
2656 ^ sinner -not translated  ^ 1
2657 ^ hew in pieces -not translated -Agag  ^ 1
2658 ^ man -Ephrathite  ^ 1
2659 ^ harrow -milk  ^ 1
2660 ^ after -variant for armies  ^ 1
2661 ^ after -against -other(s)  ^ 1
2662 ^ after -flock  ^ 1
2663 ^ after -kindle  ^ 1
2664 ^ spoil -not translated  ^ 1
2665 ^ eyed -not translated  ^ 1
2666 ^ understand -very  ^ 1
2667 ^ please -word -eye  ^ 1
2668 ^ become -not translated  ^ 1
2669 ^ after -pitch  tent  ^ 1
2670 ^ times past + 08543 -time past + 08032  ^ 1
2671 ^ after -before -Saul  ^ 1
2672 ^ etc) down -not translated -David  ^ 1
2673 ^ after -Naioth  ^ 1
2674 ^ before -uncover  ^ 1
2675 ^ dwell -dwell  ^ 1
2676 ^ kindled -kindled  ^ 1
2677 ^ well -after  ^ 1
2678 ^ in it -day  ^ 1
2679 ^ after -here  ^ 1
2680 ^ son -death  ^ 1
2681 ^ spoil -not translated  ^ 1
2682 ^ beware -beware  ^ 1
2683 ^ become -is  ^ 1
2684 ^ become -haste  ^ 1
2685 ^ crown -after  ^ 1
2686 ^ strip -against  ^ 1
2687 ^ clovenfooted -not translated  ^ 1
2688 ^ after -cave  ^ 1
2689 ^ destroyed -not translated  ^ 1
2690 ^ go -after  ^ 1
2691 ^ one -young man  ^ 1
2692 ^ put -not translated -heart -after  ^ 1
2693 ^ go -feet  ^ 1
2694 ^ all -not translated  ^ 1
2695 ^ after -evil  ^ 1
2696 ^ after -Nabal  ^ 1
2697 ^ after -Gallim  ^ 1
2698 ^ after -send  ^ 1
2699 ^ after -put  ^ 1
2700 ^ multiply -very  ^ 1
2701 ^ as if -after -ever  ^ 1
2702 ^ stink -stink  ^ 1
2703 ^ gather -not translated -all -Israel  ^ 1
2704 ^ full -height  ^ 1
2705 ^ return -not translated -man  ^ 1
2706 ^ eye -lord  ^ 1
2707 ^ do -evil -eye  ^ 1
2708 ^ ...) captive -not translated -wife  ^ 1
2709 ^ overtake -overtake  ^ 1
2710 ^ after -...) over -not translated  ^ 1
2711 ^ man -Amalekite  ^ 1
2712 ^ after -twilight  ^ 1
2713 ^ teach -man  ^ 1
2714 ^ after -teach  ^ 1
2715 ^ hear -after -not translated  ^ 1
2716 ^ after -wall  ^ 1
2717 ^ man -horsemen  ^ 1
2718 ^ what -after -how  ^ 1
2719 ^ number -day  ^ 1
2720 ^ as if -field  ^ 1
2721 ^ gather -not translated -all -people  ^ 1
2722 ^ after -servant -David  ^ 1
2723 ^ go -stronger  ^ 1
2724 ^ after -fear  ^ 1
2725 ^ become -seek  ^ 1
2726 ^ misc -times past + 08032  ^ 1
2727 ^ misc -times past + 08543  ^ 1
2728 ^ after -band  ^ 1
2729 ^ ...) away -not translated -head  ^ 1
2730 ^ after -Saul  ^ 1
2731 ^ carpenter -crib -wall  ^ 1
2732 ^ after -Hebron  ^ 1
2733 ^ after -Baale of Judah  ^ 1
2734 ^ dwell -against  ^ 1
2735 ^ after -her  ^ 1
2736 ^ more -speak  ^ 1
2737 ^ because of -word  ^ 1
2738 ^ after -blessing  ^ 1
2739 ^ after -Betah  ^ 1
2740 ^ after -Berothah  ^ 1
2741 ^ do -do -as long  ^ 1
2742 ^ after -son -king  ^ 1
2743 ^ gather -not translated -all -Israel  ^ 1
2744 ^ ....out -after  ^ 1
2745 ^ etc) down -before  ^ 1
2746 ^ after -servant -king  ^ 1
2747 ^ after -morsel  ^ 1
2748 ^ after -cup  ^ 1
2749 ^ because -son -death  ^ 1
2750 ^ before -as long -ever  ^ 1
2751 ^ fast -fast  ^ 1
2752 ^ do -evil  ^ 1
2753 ^ after -poor  ^ 1
2754 ^ hatred -great -very  ^ 1
2755 ^ after -other(s)  ^ 1
2756 ^ after -against -without  ^ 1
2757 ^ set -not translated -heart  ^ 1
2758 ^ after -side -mountain  ^ 1
2759 ^ deliver -asunder  ^ 1
2760 ^ doubtless -can  ^ 1
2761 ^ after -end -day -day  ^ 1
2762 ^ after -Geshur  ^ 1
2763 ^ after -Giloh  ^ 1
2764 ^ after -purpose  ^ 1
2765 ^ afraid -not translated  ^ 1
2766 ^ melt -melt  ^ 1
2767 ^ counsel -not translated  ^ 1
2768 ^ after -well  ^ 1
2769 ^ ...) over -quickly -not translated  ^ 1
2770 ^ after -Rabbah  ^ 1
2771 ^ flee -flee  ^ 1
2772 ^ keep -kindred  ^ 1
2773 ^ remember -name  ^ 1
2774 ^ man -tidings  ^ 1
2775 ^ tidings -before  ^ 1
2776 ^ covered -not translated  ^ 1
2777 ^ eye -right  ^ 1
2778 ^ come -against  ^ 1
2779 ^ ...) over -not translated -king -not translated  ^ 1
2780 ^ day -year  ^ 1
2781 ^ taste -not translated  ^ 1
2782 ^ ...) over -little -not translated  ^ 1
2783 ^ answer -against  ^ 1
2784 ^ gift -etc...) up  ^ 1
2785 ^ house -charge  ^ 1
2786 ^ deliver -eye  ^ 1
2787 ^ after -young man -Joab  ^ 1
2788 ^ seek -before  ^ 1
2789 ^ Saul -not translated  ^ 1
2790 ^ after -beginning  ^ 1
2791 ^ after -enemy(s) -strong  ^ 1
2792 ^ large place -not translated  ^ 1
2793 ^ hear -ear(s)  ^ 1
2794 ^ saith -David  ^ 1
2795 ^ burn -burn  ^ 1
2796 ^ son -Ahohite  ^ 1
2797 ^ after -Kabzeel  ^ 1
2798 ^ many -work  ^ 1
2799 ^ midst -pit  ^ 1
2800 ^ as many more as -as many more as  ^ 1
2801 ^ hundred -...time  ^ 1
2802 ^ bare -against  ^ 1
2803 ^ before -conceive  ^ 1
2804 ^ good -form  ^ 1
2805 ^ magnify -not translated -throne  ^ 1
2806 ^ good -tidings  ^ 1
2807 ^ reign -not translated -Solomon  ^ 1
2808 ^ after -storm  ^ 1
2809 ^ never -unpunished  ^ 1
2810 ^ never -return -not translated -before  ^ 1
2811 ^ before -....out  ^ 1
2812 ^ great -not translated  ^ 1
2813 ^ prolong -not translated  ^ 1
2814 ^ lie -against  ^ 1
2815 ^ midst -night  ^ 1
2816 ^ young twigs -not translated -son  ^ 1
2817 ^ cut off -not translated  ^ 1
2818 ^ after -Bethshean  ^ 1
2819 ^ after -hart(s)  ^ 1
2820 ^ after -Tiphsah  ^ 1
2821 ^ multiply -after -wisdom  ^ 1
2822 ^ after -Ethan  ^ 1
2823 ^ cut off -covenant  ^ 1
2824 ^ stave -after -prince  ^ 1
2825 ^ covered -not translated  ^ 1
2826 ^ midst -house  ^ 1
2827 ^ after -wing  ^ 1
2828 ^ subdue -not translated  ^ 1
2829 ^ after -against -fourth  ^ 1
2830 ^ after -foundation  ^ 1
2831 ^ pillar -one  ^ 1
2832 ^ etc...) about -not translated -pillar -second  ^ 1
2833 ^ after -against  ^ 1
2834 ^ right -not translated  ^ 1
2835 ^ midnight + -cubit  ^ 1
2836 ^ build -build  ^ 1
2837 ^ way -as if  ^ 1
2838 ^ return -after -heart  ^ 1
2839 ^ after -bow  ^ 1
2840 ^ after -misc -not translated  ^ 1
2841 ^ hundred -twenty  ^ 1
2842 ^ tribute -serve  ^ 1
2843 ^ navy -not translated  ^ 1
2844 ^ man -ship  ^ 1
2845 ^ hand -king  ^ 1
2846 ^ magnify -after -all  ^ 1
2847 ^ before -fill  ^ 1
2848 ^ rent -rent -not translated  ^ 1
2849 ^ because of -David -father  ^ 1
2850 ^ Solomon -not translated  ^ 1
2851 ^ after -seed -king  ^ 1
2852 ^ after -servant -father  ^ 1
2853 ^ after -Midian  ^ 1
2854 ^ after -Paran  ^ 1
2855 ^ Satan -not translated  ^ 1
2856 ^ after -hand -son  ^ 1
2857 ^ one -elders  ^ 1
2858 ^ after -age  ^ 1
2859 ^ know -thou  ^ 1
2860 ^ because -hath  ^ 1
2861 ^ anger -not translated -LORD  ^ 1
2862 ^ give -not translated -Israel  ^ 1
2863 ^ because of -David  ^ 1
2864 ^ after -build  ^ 1
2865 ^ after -sojourner  ^ 1
2866 ^ full -hand  ^ 1
2867 ^ live -horse -mule  ^ 1
2868 ^ after -prophet -LORD  ^ 1
2869 ^ fifty -fifty -man  ^ 1
2870 ^ cut -not translated  ^ 1
2871 ^ as long -hitherto -as long -hitherto  ^ 1
2872 ^ Jezebel -not translated  ^ 1
2873 ^ after -Abelmeholah  ^ 1
2874 ^ gather -not translated -all -army  ^ 1
2875 ^ before -misc  ^ 1
2876 ^ ...) away -king  ^ 1
2877 ^ thou -number  ^ 1
2878 ^ fail -after -not translated  ^ 1
2879 ^ near -by  ^ 1
2880 ^ after -give -not translated  ^ 1
2881 ^ do -against  ^ 1
2882 ^ overflow -not translated  ^ 1
2883 ^ man -man -hair  ^ 1
2884 ^ etc) down -fire  ^ 1
2885 ^ after -servant -Israel  ^ 1
2886 ^ beam -beam  ^ 1
2887 ^ cry -after -all  ^ 1
2888 ^ never -diminish  ^ 1
2889 ^ lie -never  ^ 1
2890 ^ one -here -one -here  ^ 1
2891 ^ sneeze -as long  ^ 1
2892 ^ after -pottage  ^ 1
2893 ^ after -Baalshalisha  ^ 1
2894 ^ become -before  ^ 1
2895 ^ because -also  ^ 1
2896 ^ yoke -mule  ^ 1
2897 ^ henceforth -hath  ^ 1
2898 ^ hither -hither  ^ 1
2899 ^ such -and such  ^ 1
2900 ^ after -heal  ^ 1
2901 ^ live -not translated -die  ^ 1
2902 ^ yesternight -not translated  ^ 1
2903 ^ put -paint  ^ 1
2904 ^ after -son -lord  ^ 1
2905 ^ reign -man  ^ 1
2906 ^ keep -before  ^ 1
2907 ^ cut off -Israel  ^ 1
2908 ^ east -sun -not translated  ^ 1
2909 ^ because -before  ^ 1
2910 ^ Hazael -not translated  ^ 1
2911 ^ after -Gathhepher  ^ 1
2912 ^ minister (v) -etc to nineteen  ^ 1
2913 ^ after -son -Gileadite  ^ 1
2914 ^ uncover -not translated -Israel  ^ 1
2915 ^ after -Cuth  ^ 1
2916 ^ after -Ivah  ^ 1
2917 ^ become -serve  ^ 1
2918 ^ put -name  ^ 1
2919 ^ deliver -deliver -not translated  ^ 1
2920 ^ after -day -east  ^ 1
2921 ^ defend -after  ^ 1
2922 ^ stave -after -sin  ^ 1
2923 ^ sin -not translated -Judah  ^ 1
2924 ^ after -Boscath  ^ 1
2925 ^ consume -not translated  ^ 1
2926 ^ return -not translated -king -word  ^ 1
2927 ^ escape -bone  ^ 1
2928 ^ after -Megiddo  ^ 1
2929 ^ put out -not translated  ^ 1
2930 ^ after -house -prison  ^ 1
2931 ^ change -not translated  ^ 1
2932 ^ Madmannah -not translated  ^ 1
2933 ^ after -Hammath  ^ 1
2934 ^ conceive -not translated  ^ 1
2935 ^ before -reckoned by genealogy  ^ 1
2936 ^ against -all -before  ^ 1
2937 ^ for my sake -as long  ^ 1
2938 ^ after -ark  ^ 1
2939 ^ after -rest  ^ 1
2940 ^ refuge -not translated  ^ 1
2941 ^ reckoned by genealogy -all  ^ 1
2942 ^ reckoned by genealogy -number  ^ 1
2943 ^ after -Hushim  ^ 1
2944 ^ tread -bow  ^ 1
2945 ^ mighty man -army  ^ 1
2946 ^ teach -bow  ^ 1
2947 ^ times past + 08032 -misc -times past + 08543  ^ 1
2948 ^ etc...)  up -first  ^ 1
2949 ^ go -go -magnify  ^ 1
2950 ^ son -Hachmoni  ^ 1
