RowID ^ Phrase ^ Count
1 ^  ^ 1
2 ^ a ^ 84
830 ^ a sabbath ^ 4
831 ^ a sacrifice ^ 15
832 ^ a sacrifice made by fire ^ 7
833 ^ a samaritan ^ 2
834 ^ a sapphire ^ 2
835 ^ a sardine ^ 1
836 ^ a savior ^ 4
837 ^ a scab ^ 1
838 ^ a scarlet ^ 1
839 ^ a scarlet colored ^ 1
840 ^ a scarlet thread ^ 1
841 ^ a scepter ^ 1
842 ^ a schoolmaster ^ 1
843 ^ a scorn ^ 2
844 ^ a scorner ^ 5
845 ^ a scorpion ^ 1
846 ^ a scourge ^ 2
847 ^ a scribe ^ 1
848 ^ a scroll ^ 1
849 ^ a sea ^ 2
850 ^ a seal ^ 1
851 ^ a season ^ 6
852 ^ a seat ^ 4
853 ^ a second ^ 6
854 ^ a secret ^ 1
855 ^ a secret place ^ 1
856 ^ a seed ^ 5
857 ^ a seer ^ 2
858 ^ a seething ^ 1
859 ^ a seller of purple ^ 1
860 ^ a sepulcher ^ 5
861 ^ a serpent ^ 10
862 ^ a servant ^ 28
863 ^ a set time ^ 1
864 ^ a setter forth ^ 1
865 ^ a settled place ^ 1
866 ^ a several tenth deal ^ 3
867 ^ a shadow ^ 4
868 ^ a shaking ^ 2
869 ^ a shame ^ 4
870 ^ a sharp ^ 5
871 ^ a sharp stone ^ 1
872 ^ a she goat ^ 1
873 ^ a sheaf ^ 2
874 ^ a shedder ^ 1
875 ^ a sheep ^ 5
876 ^ a sheepmaster ^ 1
877 ^ a shekel ^ 4
878 ^ a shelter ^ 1
879 ^ a shepherd ^ 4
880 ^ a shield ^ 1
881 ^ a shining ^ 1
882 ^ a ship ^ 15
883 ^ a shoelatchet ^ 1
884 ^ a shore ^ 1
885 ^ a short ^ 1
886 ^ a short space ^ 1
887 ^ a short time ^ 1
888 ^ a shout ^ 3
889 ^ a show ^ 1
890 ^ a shower ^ 1
891 ^ a shunammite ^ 1
892 ^ a sickle ^ 1
893 ^ a sign ^ 22
894 ^ a sign of fire ^ 1
895 ^ a silversmith ^ 1
896 ^ a sin ^ 6
897 ^ a sin offering ^ 1
898 ^ a sinful ^ 1
899 ^ a singer ^ 1
900 ^ a sinner ^ 7
901 ^ a sister ^ 3
902 ^ a slander ^ 2
903 ^ a slaughter ^ 2
904 ^ a slothful ^ 1
905 ^ a small ^ 1
906 ^ a small matter ^ 1
907 ^ a small ship ^ 1
908 ^ a smell ^ 1
909 ^ a smoke ^ 4
910 ^ a smoking ^ 1
911 ^ a snail ^ 1
912 ^ a snare ^ 20
913 ^ a sodomite ^ 1
914 ^ a soft ^ 1
915 ^ a sojourner ^ 2
916 ^ a soldier ^ 1
917 ^ a solemn assembly ^ 5
918 ^ a solemn sound ^ 1
919 ^ a solitary ^ 1
920 ^ a son ^ 61
921 ^ a son in his own likeness ^ 1
922 ^ a song ^ 25
